CommunitySize,HouseholdType,HouseholdSize,BeforeTax,AfterTax,Green,Yellow,Red
"Population 100,000 to 499,999",Couples With Children,5 persons,55083,45793,,,
"Population 500,000 and over",Couples With Children,5 persons,63963,54148,,,
Rural areas,Couples With Children,6 persons,49660,39284,,,
"Population under 30,000",Couples With Children,6 persons,56496,44958,,,
"Population 30,000 to 99,999",Couples With Children,6 persons,61743,50155,,,
"Population 100,000 to 499,999",Couples With Children,6 persons,62127,50785,,,
"Population 500,000 and over",Couples With Children,6 persons,72140,60051,,,
Rural areas,Couples With Children,7 persons or more,55289,43145,,,
"Population under 30,000",Couples With Children,7 persons or more,62899,49378,,,
"Population 30,000 to 99,999",Couples With Children,7 persons or more,68742,55085,,,
"Population 100,000 to 499,999",Couples With Children,7 persons or more,69168,55778,,,
"Population 500,000 and over",Couples With Children,7 persons or more,80317,65955,,,
Rural areas,Lone Parent Household,2 persons,26009,20024,,,
"Population under 30,000",Lone Parent Household,2 persons,29588,22917,,,
"Population 30,000 to 99,999",Lone Parent Household,2 persons,32337,25565,,,
"Population 100,000 to 499,999",Lone Parent Household,2 persons,32537,25887,,,"Laura is 26 and recently graduated from university with a fine arts degree. She has been unable to secure a stable job in her field. After having a kid unexpectedly in her early 20's, she decided to move in with her parents living in Red Deer after things did not work out with her partner. She works part-time in retail, earning just enough to cover her personal expenses. Laura lives with her parents because she cannot afford to live on her own and needs her parents help raising her child. Despite her education, she feels stuck in a cycle of low-paying jobs with limited prospects for advancement. She spends her days working and searching for better opportunities, but the lack of financial independence weighs heavily on her. She dreams of moving out and starting her own life and providing for her child but is currently unable to do so due to her financial situation. She wonders what her life would be like if she did not have her parents to support her. Child benefits helps but still would not be enough on her own."
"Population 500,000 and over",Lone Parent Household,2 persons,37783,30610,,,
Rural areas,Lone Parent Household,3 persons,31974,24935,,,
"Population under 30,000",Lone Parent Household,3 persons,36375,28535,,,
"Population 30,000 to 99,999",Lone Parent Household,3 persons,39754,31833,,,
"Population 100,000 to 499,999",Lone Parent Household,3 persons,40001,32235,,,
"Population 500,000 and over",Lone Parent Household,3 persons,46450,38116,,,
Rural areas,Lone Parent Household,4 persons,38822,31106,,,
"Population under 30,000",Lone Parent Household,4 persons,44166,35600,,,
"Population 30,000 to 99,999",Lone Parent Household,4 persons,48268,39715,,,
"Population 100,000 to 499,999",Lone Parent Household,4 persons,48568,40215,,,
"Population 500,000 and over",Lone Parent Household,4 persons,56396,47552,,,
Rural areas,Lone Parent Household,5 persons,44031,35422,,,
"Population under 30,000",Lone Parent Household,5 persons,50092,40539,,,
"Population 30,000 to 99,999",Lone Parent Household,5 persons,54745,45225,,,
"Population 100,000 to 499,999",Lone Parent Household,5 persons,55083,45793,,,
"Population 500,000 and over",Lone Parent Household,5 persons,63963,54148,,,
Rural areas,Lone Parent Household,6 persons,49660,39284,,,
"Population under 30,000",Lone Parent Household,6 persons,56496,44958,,,
"Population 30,000 to 99,999",Lone Parent Household,6 persons,61743,50155,,,
"Population 100,000 to 499,999",Lone Parent Household,6 persons,62127,50785,,,
"Population 500,000 and over",Lone Parent Household,6 persons,72140,60051,,,
Rural areas,Lone Parent Household,7 persons or more,55289,43145,,,
"Population under 30,000",Lone Parent Household,7 persons or more,62899,49378,,,
"Population 30,000 to 99,999",Lone Parent Household,7 persons or more,68742,55085,,,
"Population 100,000 to 499,999",Lone Parent Household,7 persons or more,69168,55778,,,
"Population 500,000 and over",Lone Parent Household,7 persons or more,80317,65955,,,
Rural areas,Single Senior Household,1 person,20892,16452,,,
"Population under 30,000",Single Senior Household,1 person,23768,18828,,"Sangita is a 79-year-old immigrant who lives in a modest retirement home, relying heavily on her children to cover her living expenses. Her pension is insufficient to cover the cost of care, and without her family's financial support, she would be unable to afford her current living situation. She knows if her kids fell on challenging economic times, her stability would be affected drastically. Sangita's financial situation is a constant source of anxiety. She wants to but does not know where to look for programs to alleviate this stress, especially with language barriers. Sangita's life is simple, revolving around her needs at the retirement home. Her children visit regularly. Sangita's quality of life has declined as she has had to make sacrifices to cover her rising living expenses. She has cut back on medication.",
"Population 30,000 to 99,999",Single Senior Household,1 person,25976,21004,,,
"Population 100,000 to 499,999",Single Senior Household,1 person,26138,21269,,,
"Population 500,000 and over",Single Senior Household,1 person,30350,25150,,,
Rural areas,Senior Couple Household,2 persons,26009,20024,"Sam, 72, is a retired professional who owns his home outright. He enjoys a comfortable retirement, with multiple vehicles, frequent vacations, and a passion for golf. Sam has a well-managed stock portfolio that provides additional income, ensuring he and his spouse can maintain their lifestyle without financial concerns.
Sam's days are filled with leisure activities, socializing with friends, and travel. He has access to top-tier healthcare and enjoys the freedom that financial security brings. His kids and grandkids will benefit from his situation. If I was aging any better, I might as well be called fine wine.",,
"Population under 30,000",Senior Couple Household,2 persons,29588,22917,,,
"Population 30,000 to 99,999",Senior Couple Household,2 persons,32337,25565,,,
"Population 100,000 to 499,999",Senior Couple Household,2 persons,32537,25887,,,
"Population 500,000 and over",Senior Couple Household,2 persons,37783,30610,,,
